GOAL HALF MARATHON - LEVEL 1 - TRAIN 3 TO 5 HOURS PER WEEK,,,,,,,,,,
,, , , , , , , ,,
,,Rest or recovery,Aerobic + strength,Speed,Recovery below MAF,Aerobic + strength,Aerobic ,Long run or tempo,,
WEEK,WORKOUT,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,WEEKLY VOLUME,STAGE
1,Aerobic run or walk,rest,30 min at or below MAF, ,rest,30 min at or below MAF,30 min at or below MAF, ,180 minutes,build
,Higher intensity,,,"warm up 15 minutes

option one: 5 x 3 minutes intervals @10k pace, 90 sec recovery jog

option two: 3 x 5 minute intervals @10k pace, 2 minutes jog between intervals

cool down 15 minutes
", ,,,"40 minutes at or below MAF

If body feels good, add 10 minutes of fartleks, so speed play at higher intensity. 
  
Listen to how your body responds. Don't overdo it. Focus on good running form.

  If needed skip the fartleks and run 10 more minutes at MAF instead.",3 hours,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
2,Aerobic run or walk,rest,30 min at or below MAF, ,20 min recovery below MAF, ,30 min at or below MAF,,200 minutes,build
,Higher intensity,,,"warm up 15 minutes

option one: 6 intervals @ 5k pace with 90 second recovery jog between = 1 x 4 min, 1 x 3 min, 1 x 2 min, 3 x 1 min

option two: 6 x 3 minute intervals @ 10k pace, 75 seconds jog between intervals

option three: 4 x 4 minutes intervals @ half marathon pace, 2 minutes recovery jog

cool down 15 minutes
", ,,,"Total workout time is 70 minutes: 

  Warm up 15 minutes
+
 MAF test 3 miles (5km)
+
If there is time left after the MAF test and the body feels good, add some Fartlek speed play on or off the track. Or you can run the remaining time at or below MAF. 
+
Cool down 15 minutes",3 hours 20 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
3,Aerobic run or walk,rest,40 min at or below MAF, ,30 min recovery below MAF, ,40 min at or below MAF, ,215 minutes,build
,Higher intensity,,,"warm up 15 minutes

option one: 5 x 3 minute intervals @ 10k pace, 75 seconds jog between intervals

option two: 3 x 6 minutes intervals @ half marathon pace, 90 sec recovery jog

cool down 15 minutes
", ,,,"warm up 15 minutes

3 x 6 minutes at half marathon pace, with 3 minutes recovery between

cool down 15 minutes
",3 hours 35 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
4,Aerobic run or walk,rest,30 min at or below MAF,45 min at or below MAF,rest,30 min at or below MAF,30 min at or below MAF,45 min at or below MAF,180 minutes,step back
,Higher intensity,0,0,0,0,0,0,0,3 hours,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 30 minutes", , ,
,Strength training, ,no, , ,no, , , ,
5,Aerobic run or walk,rest,45 min at or below MAF, ,30 min recovery below MAF, ,45 min at or below MAF, ,235 minutes,build
,Higher intensity,,,"warm up 15 minutes

option one: 6 x 3 minute intervals @ 10k pace, 90 sec recovery jog between intervals

option two: 3 x 6 minutes intervals @ half marathon pace, 2 min recovery jog 

cool down 15 minutes
", ,,,"15 min at / below MAF

3 x 8 minutes at half marathon pace, with 3 minutes recovery between

15 min at / below MAF
",3 hours 55 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
6,Aerobic run or walk,rest,40 min at or below MAF, ,30 min recovery below MAF, ,40 min at or below MAF, ,260 minutes,build
,Higher intensity,,,"warm up 15 minutes

30 minutes fartleks or hills

cool down 15 minutes",,,,"Total workout time is 90 minutes: 

  Warm up 15 minutes
+
 MAF test 3 miles (5km) or 5 miles (8km)
+
If there is time left after the MAF test and the body feels good, add some Fartlek speed play on or off the track. Or you can run the remaining time at or below MAF. 
+
Cool down 15 minutes",4 hours 20 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
7,Aerobic run or walk,rest,45 min at or below MAF, ,30 min recovery below MAF, ,50 min at or below MAF, ,280 minutes,build
 ,Higher intensity,,,"warm up 15 minutes

option one: 6 x 4 minute intervals @ 10k pace, 1 to 2 minutes recovery jog

option two: 3 x 8 minute intervals @ 10k pace, 1 to 2 minutes recovery jog

cool down 15 minutes
", ,,,"75 minutes at / below MAF
+
15 minutes faster finish",4 hours 40 minutes,
,Drills and/or strides, ,yes, , , , yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
8,Aerobic run or walk,rest,45 min at or below MAF,30 min at or below MAF, ,45 min at or below MAF,30 min at or below MAF,60 min at or below MAF,210 minutes,step back
,Higher intensity,0,0,0,0,0,0,0,3 hours 30 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 40 minutes", , ,
,Strength training, ,no, , ,no, , , ,
9,Aerobic run or walk,rest,45 min at or below MAF, , ,60 min at or below MAF,30 min at or below MAF, ,290 minutes,peak
,Higher intensity,,,"warm up 15 minutes

option one: 6 x 3 minute intervals @ 10k pace, 75 sec recovery jog

option two: 3 x 5 minute intervals @ 10k pace, 2 to 3 min jog between intervals

cool down 15 minutes
",,,,"

10 mile (16 km) long run at / below MAF",4 hours 50 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
10,Aerobic run or walk,rest,40 min at or below MAF, , ,35 min at or below MAF,30 min at or below MAF,,300 minutes,peak
,Higher intensity,,,"warm up 15 minutes

45 minutes fartleks or hills

cool down 15 minutes",,,,"Total workout time is 120 minutes: 

  Warm up 15 minutes
+
 MAF test 5 miles / 8km
+
If body feels good after the MAF test, add some speed play on or off the track. Or you can run the remaining time at or below MAF. 
+
Cool down 15 minutes",5 hours,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
11,Aerobic run or walk,rest,45 min at or below MAF, , ,40 min at or below MAF,45 min at or below MAF,,280 minutes,peak
,Higher intensity,,,"warm up 15 minutes

3 x 8 minutes @ faster than conversational pace, with 3 minutes recovery jog between. 

cool down 15 minutes", ,,,"Strong finish run

60 minutes at or below MAF

20 minutes @ higher than MAF, pick up the pace if you have energy left. Focus on good form.

10 minutes below MAF ",4 hours 40 minutes,
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", ," rest, walk, run or cross-train for 45 minutes", , ,
,Strength training, ,yes, , , yes, , , ,
12,Aerobic run or walk,rest,45 min at or below MAF, , ,40 min at or below MAF,30 min at or below MAF, ,163 minutes,Taper
,Higher intensity, , ,"warm up 15 minutes

4 intervals @ comfortable higher intensity with 90 sec recovery jog between intervals

6 minutes
4 minutes
2 minutes
1 minute

cool down 15 minutes", , , ,Race day,2 hours 43 minutes,Race week
,Drills and/or strides, ,yes, , , ,yes, , ,
,Cross-training, , , ," rest, walk, run or cross-train for 30 minutes", , , , ,
,Strength training, ,no, , ,no, , , ,